featureIDs,X4132_1A_80MeOH_NdCL3.mzML,X4132_2A_80MeOH_NdCL3.mzML,X4132_3A_80MeOH_NdCL3.mzML,X4132_4A_80MeOH_NdCL3.mzML,X4133_1A_80MeOH_NdCl3.mzML,X4133_2A_80MeOH_NdCl3.mzML,X4133_3A_80MeOH_NdCl3_.mzML,X4133_4A_80MeOH_NdCl3_.mzML,logFC,pvalue,logpval,Sample_Type,,,
248,2.91623741675233e-07,1.72735730827824e-06,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,6.29300680681333e-06,2.35805769799878e-07,4.23466776714905e-06,-2.100523502,0.255098301,0.593292434,Not Significant,,,
566,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,2.85339529614753e-07,0.187201567,0.253612969,0.595828541,Not Significant,,,
337,2.91623741675233e-07,3.95949459287001e-06,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,8.25757084754372e-06,2.35805769799878e-07,1.27567844815333e-05,-2.16305555,0.273551379,0.562961091,Not Significant,,,
225,1.16298170641619e-06,1.07142455516104e-05,1.40144748551563e-06,3.18334142793712e-07,2.93191015147408e-07,1.57720341098066e-05,1.25784310088242e-06,1.69114832173806e-05,-1.332163792,0.363890687,0.439029059,Not Significant,,,
459,3.65112489699882e-06,2.86750752283446e-05,2.43212813491705e-06,6.53314731863393e-06,2.77894172568999e-05,2.58986867675751e-05,6.01109480291595e-06,1.21468687340034e-05,-0.799065219,0.384799062,0.414765996,Not Significant,,,
369,2.00296024028405e-06,0.000199651,1.58594218136438e-05,1.2896375132097e-06,1.80536167486884e-05,0.000570753,1.20092413869039e-05,8.71431929400117e-05,-1.652690047,0.459302418,0.337901269,Not Significant,,,
586,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,2.47453266291735e-07,2.35805769799878e-07,1.26770258255601e-06,-0.757803467,0.469804799,0.328082551,Not Significant,,,
255,4.24589586692056e-06,1.40323797506175e-05,2.40808917350663e-07,1.56565890513565e-06,4.84598840498136e-06,0.000152387,1.34246055344494e-06,3.94066605527891e-05,-3.30119813,0.297741846,0.526160124,Not Significant,,,
522,2.91623741675233e-07,2.16973442412507e-06,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,4.14517583816752e-06,2.35805769799878e-07,1.230122991059e-05,-2.490585908,0.307835499,0.511681299,Not Significant,,,
410,2.18712805165065e-06,1.85802877934482e-05,2.26135574511123e-06,1.75804205002946e-06,4.40110575948381e-06,2.55817685940214e-05,2.81973767774663e-06,4.24873725863955e-05,-1.60288514,0.28609286,0.543492981,Not Significant,,,
626,4.42528245588033e-06,8.44700015891899e-06,5.08621322873049e-06,3.18334142793712e-07,3.30869146815062e-06,9.0917119311436e-06,2.2190838093663e-06,1.11977230819257e-05,-0.498317252,0.520186706,0.283840751,Not Significant,,,
629,3.37616489405733e-05,9.43498439880088e-05,2.38742206502885e-05,2.92609337322171e-05,7.57594974255486e-05,0.000143097,2.78308177425482e-05,0.000132648,-1.065519381,0.176318148,0.753702984,Not Significant,,,
749,2.91623741675233e-07,3.5813700837226e-07,2.40808917350663e-07,3.18334142793712e-07,2.93191015147408e-07,9.94726531952713e-06,2.35805769799878e-07,8.42588057661827e-06,-3.96677842,0.186731223,0.728783059,Not Significant,,,
350,4.18161802919569e-05,5.36981048617617e-05,2.38549400942085e-06,2.2386079284456e-06,3.49856376985579e-05,7.20838527828691e-05,8.13568275958962e-06,2.51644685634746e-05,-0.48723583,0.615463298,0.21079784,Not Significant,,,
708,2.91623741675233e-07,2.18577016575257e-06,4.52779276961445e-06,1.06190029011341e-05,2.93191015147408e-07,7.54088475917482e-06,1.2399892945539e-05,1.21045596398031e-05,-0.875697108,0.34924835,0.456865637,Not Significant,,,
681,2.91623741675233e-07,4.79350395203002e-06,5.83523679761413e-06,1.35642750687377e-05,2.93191015147408e-07,7.7886093558024e-06,1.33910652664028e-05,1.48185953599846e-05,-0.567753179,0.518601931,0.285165871,Not Significant,,,
706,2.53583202455282e-05,9.65362233008309e-06,1.70341067237106e-05,4.69769603887347e-05,4.31765909583359e-05,2.08752063838312e-05,2.79997860216756e-05,2.93514832525399e-05,-0.29396916,0.575550832,0.239916314,Not Significant,,,
771,2.91623741675233e-07,6.89531392265404e-05,9.89058095452716e-06,8.66152618608721e-06,1.7176499177998e-05,8.9144149218096e-05,1.25369281591036e-05,3.16372944221629e-05,-0.777472904,0.533150939,0.273149821,Not Significant,,,
724,8.91010629388116e-06,1.42614444953276e-05,1.06140469871698e-05,1.14435860651364e-05,1.71258028508876e-05,9.8583373446142e-06,1.02531441074126e-05,1.44353605934178e-05,-0.192146768,0.471047835,0.326934988,Not Significant,,,
752,2.33905174216906e-05,3.99688676686387e-05,2.06242022433151e-05,2.39552962717386e-05,3.36235262510543e-05,2.36562316234778e-05,2.07453994023456e-05,3.9322002316735e-05,-0.120568251,0.715734501,0.145248048,Not Significant,,,
